// R-TYPE 
00000000100000110111001010110011 "and"
00000010000000000100001010110011 "div"
00000000100000111000001010110011 "add"
00000000000000000110001010110011 "or"
00000010000000000110001010110011 "rem"

// I-TYPE
11111100111000001000011110010011 "addi"
00000000100000010010011110000011 "lw" 
00000000010100001001000100010011 "slli"

// S-TYPE 
00000000011100001000110000100011 "sh"
00000000011100001001010000100011 "sw"

// B-TYPE
00000000101010011000100001100011 "beq"
00000000101010011001100001100011 "bne"
00000000101010011101100001100011 "bge"

// U-TYPE
00000000000000000011010100110111 "lui"
00000000000000000111010100010111 "auipc"

// J-TYPE
00000000000000000011000001101111 "jal"
