INS, ALU Op, RegRead, RegWrite, MemRead, MemRight, WriteMode, ImmMode, ITypeMode, ShiftImmMode, UnsignedMode, AUIPCEnable, BranchEnable, JumpEnable, fRead, fWrite

LB, 00001, 0, 1, 1, 0, 10, 01, 0, 0, 0, 0, 0, 0, 0, 0
LBU, 00001, 0, 1, 1, 0, 10, 01, 0, 0, 0, 0, 0, 0, 0, 0
SB, 00001, 1, 0, 0, 1, 00, 01, 1, 0, 0, 0, 0, 0, 0, 0
LH, 00001, 0, 1, 1, 0, 10, 01, 0, 0, 0, 0, 0, 0, 0, 0
LHU, 00001, 0, 1, 1, 0, 10, 01, 0, 0, 0, 0, 0, 0, 0, 0
SH, 00001, 1, 0, 0, 1, 00, 01, 1, 0, 0, 0, 0, 0, 0, 0
LW, 00001, 0, 1, 1, 0, 10, 01, 0, 0, 0, 0, 0, 0, 0, 0
SW, 00001, 1, 0, 0, 1, 00, 01, 1, 0, 0, 0, 0, 0, 0, 0
FLW, 00001, 0, 1, 1, 0, 10, 01, 0, 0, 0, 0, 0, 0, 0, 1
FSW, 00001, 1, 0, 0, 1, 00, 01, 1, 0, 0, 0, 0, 0, 1, 0
FMV.S.X, 00110, 0, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 1, 0
FMV.X.S, 00111, 1, 0, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 1
ADD, 00001, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
ADDI, 00001, 1, 1, 0, 0, 00, 01, 0, 0, 0, 0, 0, 0, 0, 0
SUB, 00010, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
MUL, 10000, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
MULH, 10001, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
MULHSU, 10010, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
MULHU, 10011, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
DIV, 10100, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
DIVU, 10101, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
REM, 10110, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
REMU, 10111, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
AND, 00011, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
ANDI, 00011, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
OR, 00100, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
ORI, 00100, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
XOR, 00101, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
XORI, 00101, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
LUI, 00000, 0, 1, 0, 0, 11, 00, 0, 0, 0, 0, 0, 0, 0, 0
AUIPC, 00000, 0, 1, 0, 0, 11, 00, 0, 0, 0, 1, 0, 0, 0, 0
SLL, 11000, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
SLLI, 11000, 1, 1, 0, 0, 00, 01, 0, 0, 0, 0, 0, 0, 0, 0
SRL, 11001, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
SRLI, 11001, 1, 1, 0, 0, 00, 01, 0, 0, 0, 0, 0, 0, 0, 0
SRA, 11010, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
SRAI, 11010, 1, 1, 0, 0, 00, 01, 0, 0, 0, 0, 0, 0, 0, 0
SLT, 01110, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
SLTI, 01110, 1, 1, 0, 0, 00, 01, 0, 0, 0, 0, 0, 0, 0, 0
SLTU, 01111, 1, 1, 0, 0, 00, 10, 0, 0, 0, 0, 0, 0, 0, 0
SLTIU, 01111, 1, 1, 0, 0, 00, 01, 0, 0, 1, 0, 0, 0, 0, 0
BEQ, 01010, 1, 0, 0, 0, 00, 00, 0, 0, 0, 0, 1, 0, 0, 0
BNE, 01011, 1, 0, 0, 0, 00, 00, 0, 0, 0, 0, 1, 0, 0, 0
BLT, 01000, 1, 0, 0, 0, 00, 00, 0, 0, 0, 0, 1, 0, 0, 0
BGE, 01001, 1, 0, 0, 0, 00, 00, 0, 0, 0, 0, 1, 0, 0, 0
BLTU, 01100, 1, 0, 0, 0, 00, 00, 0, 0, 0, 0, 1, 0, 0, 0
BGEU, 01101, 1, 0, 0, 0, 00, 00, 0, 0, 0, 0, 1, 0, 0, 0
JAL, 00001, 0, 1, 0, 0, 10, 00, 0, 1, 0, 0, 0, 1, 0, 0
JALR, 00001, 1, 1, 0, 0, 10, 01, 0, 0, 0, 0, 0, 1, 0, 0
